#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2020 05 14 15 50 210  3.0  5.0   0.3     6   4.1 166 1022.0  10.4   7.4   2.1   MM -1.6    MM
2020 05 14 14 50 270  3.0  4.0   0.3     7   4.4 161 1022.8  10.5   7.2  -1.6   MM -1.0    MM
2020 05 14 13 50 250  4.0  6.0   0.3     6   4.2 155 1023.0   9.6   7.0   0.3   MM -0.5    MM
2020 05 14 12 50 260  3.0  5.0   0.3     7   4.2 151 1023.6   8.3   6.8   1.5   MM +0.9    MM
2020 05 14 11 50 270  5.0  6.0   0.3     7   4.3 146 1023.8   7.8   6.7  -0.3   MM +1.3    MM
2020 05 14 10 50 280  6.0  7.0   0.3     7   4.3 137 1023.5   7.3   6.6  -2.5   MM +1.1    MM
2020 05 14 09 50 260  4.0  5.0   0.3     7   3.7 126 1022.7   7.3   6.6  -1.0   MM +0.7    MM
2020 05 14 08 50 260  4.0  5.0   0.3     7   3.4 142 1022.5   7.4   6.6  -0.6   MM +0.9    MM
2020 05 14 07 50 260  5.0  5.0   0.3     8   3.6 120 1022.4   7.6   6.7   0.3   MM +0.8    MM
2020 05 14 06 50 260  6.0  7.0   0.3     7   3.3 119 1022.0   7.9   6.7  -0.1   MM -0.0    MM
2020 05 14 05 50 250  6.0  7.0   0.3     8   3.4 105 1021.6   8.2   6.7   0.2   MM +0.0    MM
2020 05 14 04 50 260  6.0  7.0   0.3     7   4.2 131 1021.6   8.5   6.7  -0.7   MM +0.0    MM
2020 05 14 03 50 260  4.0  4.0   0.3     8   4.1 132 1021.8   8.1   6.7   1.4   MM +1.3    MM
2020 05 14 02 50 230  4.0  5.0   0.2    MM   5.0  MM 1021.6   8.4   6.8   0.3   MM +2.2    MM
2020 05 14 01 50 260  4.0  4.0   0.2    MM   3.9  MM 1021.4   8.9   6.8   0.3   MM +2.9    MM
2020 05 14 00 50 290  4.0  5.0   0.3     8   3.2 147 1020.5  10.5   6.8  -3.7   MM +2.4    MM
2020 05 13 23 50 310  7.0  8.0   0.5     3   3.0 319 1019.4  11.2   6.9  -4.3   MM +1.5    MM
2020 05 13 22 50 310  8.0 11.0   0.5     3   3.0 311 1018.5  11.7   6.9  -5.8   MM +0.8    MM
2020 05 13 21 50 320  8.0 11.0   0.6     3   3.3 312 1018.1  11.5   6.9  -5.6   MM +0.0    MM
2020 05 13 20 50 320  9.0 12.0   0.6     3   3.1 319 1017.9  11.5   6.9  -7.2   MM +0.0    MM
2020 05 13 19 50 320  9.0 12.0   0.6     3   3.1 314 1017.7  11.3   6.9  -7.4   MM -0.8    MM
2020 05 13 18 50 320  8.0 10.0   0.6     3   3.2 306 1017.9  10.5   6.8  -6.6   MM -1.2    MM
2020 05 13 17 50 320  8.0 11.0   0.6     3   3.2 298 1018.1  10.1   6.8  -5.9   MM -1.3    MM
2020 05 13 16 50 310 10.0 12.0   0.5     3   3.2 257 1018.5   9.5   6.8  -7.9   MM -0.9    MM
2020 05 13 15 50 300  7.0  9.0   0.5     8   3.3 129 1019.1   8.5   6.7  -5.5   MM -0.3    MM
2020 05 13 14 50 310  4.0  6.0   0.5     9   3.4 138 1019.4   7.6   6.6  -6.9   MM +0.0    MM
2020 05 13 13 50 310  7.0 10.0   0.6     9   4.0 103 1019.4   6.9   6.5  -7.7   MM +0.5    MM
2020 05 13 12 50 270  8.0  9.0   0.6     9   3.6 127 1019.4   5.8   6.4  -4.6   MM +1.1    MM
2020 05 13 11 50 260  9.0 10.0   0.5     9   4.0 123 1019.3   4.9   6.4  -3.4   MM +1.8    MM
2020 05 13 10 50 270  8.0  9.0   0.6     9   3.9 124 1018.9   4.3   6.4  -3.5   MM +2.3    MM
2020 05 13 09 50 280  8.0  9.0   0.6    10   3.9 135 1018.3   4.3   6.4  -3.2   MM +2.0    MM
2020 05 13 08 50 280  9.0 11.0   0.6     9   4.1 133 1017.5   4.2   6.4  -3.7   MM +1.6    MM
2020 05 13 07 50 280  8.0  9.0   0.6     8   4.2 129 1016.6   4.4   6.5  -3.8   MM +1.0    MM
2020 05 13 06 50 280  8.0 10.0   0.8     8   4.5 136 1016.3   4.9   6.5  -3.6   MM +0.7    MM
2020 05 13 05 50 280  8.0 10.0   0.8     8   4.9 132 1015.9   5.0   6.6  -3.8   MM +0.5    MM
2020 05 13 04 50 280  8.0  9.0   0.7     8   5.3 118 1015.6   5.7   6.6  -4.1   MM +0.6    MM
2020 05 13 03 50 270  5.0  6.0   0.5     8   6.8 139 1015.6   6.4   6.6  -4.1   MM +1.5    MM
2020 05 13 02 50 290  4.0  6.0   0.6     8   5.7 142 1015.4   6.8   6.7  -4.4   MM +2.4    MM
2020 05 13 01 50 300  6.0  7.0   0.5     8   4.0 151 1015.0   7.5   6.7  -6.9   MM +3.4    MM
2020 05 13 00 50 310  8.0 11.0   0.6     8   3.6 147 1014.1   8.1   6.8  -7.1   MM +3.8    MM
2020 05 12 23 50 310  9.0 11.0    MM    MM    MM  MM 1013.0   8.4   6.8  -6.4   MM +3.6    MM
2020 05 12 22 50 300 10.0 12.0   0.6     9   3.3 134 1011.6   9.0   7.0  -6.3   MM +2.8    MM
2020 05 12 21 50 310 10.0 12.0   0.6     9   3.5 133 1010.3   9.6   7.0  -7.3   MM +2.0    MM
2020 05 12 20 50 310  8.0 10.0   0.7     3   3.2 308 1009.4   9.7   7.0  -6.2   MM +1.6    MM
2020 05 12 19 50 310  7.0  9.0   0.7     3   3.4 272 1008.8   9.6   7.0  -5.9   MM +0.8    MM
2020 05 12 18 50 270  9.0 12.0   0.7     3   3.4 248 1008.3   9.3   6.9  -4.4   MM -0.0    MM
2020 05 12 17 50 260  9.0 11.0   0.6     3   3.1 271 1007.8   9.3   7.0  -3.3   MM +0.0    MM
2020 05 12 16 50 280  6.0  8.0   0.5     3   3.0 309 1008.0   9.5   6.9  -2.0   MM +0.0    MM
2020 05 12 15 50 300  9.0 11.0   0.6     3   3.0 282 1008.2   9.2   6.8  -3.9   MM +0.5    MM
2020 05 12 14 50 320  7.0  9.0   0.5     3   3.1 344 1008.0   8.8   6.8  -2.3   MM +0.9    MM
2020 05 12 13 50 310  8.0  9.0   0.7     3   3.2 317 1008.1   8.2   6.7  -2.0   MM +1.5    MM
2020 05 12 12 50 320 11.0 14.0   0.8     3   3.1 320 1007.7   7.6   6.7  -2.2   MM +2.0    MM
2020 05 12 11 50 300  8.0 12.0   0.5     5   3.5 177 1007.1   7.4   6.8   0.2   MM +2.3    MM
2020 05 12 10 50 280  8.0  9.0   0.6     6   3.9 149 1006.6   6.3   6.8   2.0   MM +2.0    MM
2020 05 12 09 50 290  7.0  9.0   0.6     6   4.0 152 1005.7   6.2   7.0   2.4   MM +1.7    MM
2020 05 12 08 50 290  8.0 10.0   0.7     5   3.8 164 1004.8   6.5   7.0   2.7   MM +1.6    MM
2020 05 12 07 50 280  7.0  8.0   0.9     6   4.2 153 1004.6   6.6   6.7   4.3   MM +1.5    MM
2020 05 12 06 50 280  7.0  9.0   0.9     6   4.0 143 1004.0   6.7   6.7   5.3   MM +0.3    MM
